CÓDIGO;Tipología ORG
CU-0614;TIPO A
CU-0615;TIPO A
CU-0616;TIPO A
CU-0618;TIPO A
CU-0619;TIPO A
CU-0620;TIPO A
CU-0621;TIPO A
CU-0622;TIPO A
CU-0623;TIPO A
CU-0624;TIPO A
CU-0625;TIPO A
CU-0628;TIPO A
CU-0629;TIPO A
CU-0630;TIPO A
CU-0631;TIPO A
CU-0632;TIPO A
CU-0633;TIPO C
CU-0634;TIPO A
CU-0635;TIPO A
CU-0636;TIPO A
CU-0637;TIPO A
CU-0638;TIPO A
CU-0639;TIPO A
CU-0640;TIPO A
CU-0641;TIPO A
CU-0642;TIPO A
CU-0643;TIPO A
CU-0645;TIPO A
CU-0646;TIPO A
CU-0647;TIPO A
CU-0648;TIPO A
CU-0649;TIPO A
CU-0651;TIPO A
CU-0652;TIPO A
CU-0654;TIPO A
CU-0930;TIPO C
CU-0617;TIPO A
CU-0626;TIPO A
CU-0627;TIPO A
CU-0644;TIPO A
CU-0650;TIPO A
CU-0710;TIPO A
CU-0664;TIPO A
CU-0695;TIPO A
CU-1245;TIPO A
CU-0419;TIPO A
CU-1281;TIPO A
EJ-0656;TIPO A
EJ-0657;TIPO A
EJ-0658;TIPO C
EJ-0659;TIPO A
EJ-0660;TIPO A
EJ-0661;TIPO A
EJ-0662;TIPO C
EJ-0663;TIPO A
EJ-0500;TIPO A
EJ-0665;TIPO A
EJ-0666;TIPO A
EJ-0667;TIPO A
EJ-0668;TIPO A
EJ-0670;TIPO A
EJ-0671;TIPO A
EJ-0672;TIPO A
EJ-0676;TIPO A
EJ-0677;TIPO A
EJ-0678;TIPO A
EJ-0680;TIPO A
EJ-0681;TIPO A
EJ-0682;TIPO A
EJ-0683;TIPO A
EJ-0684;TIPO A
EJ-0685;TIPO B
EJ-0686;TIPO A
EJ-0687;TIPO C
EJ-0688;TIPO C
EJ-0689;TIPO C
EJ-0690;TIPO C
EJ-0691;TIPO A
EJ-0692;TIPO A
EJ-0693;TIPO A
EJ-0694;TIPO A
EJ-0653;TIPO A
EJ-0696;TIPO A
EJ-0697;TIPO A
EJ-0698;TIPO A
EJ-0699;TIPO A
EJ-0700;TIPO A
EJ-0701;TIPO A
EJ-0702;TIPO A
EJ-0703;TIPO A
EJ-0704;TIPO A
EJ-0705;TIPO A
EJ-0706;TIPO A
EJ-0707;TIPO A
EJ-0709;TIPO A
EJ-0711;TIPO A
EJ-0713;TIPO A
EJ-0714;TIPO A
EJ-0715;TIPO A
EJ-0716;TIPO A
EJ-0717;TIPO A
EJ-0718;TIPO A
EJ-0721;TIPO A
EJ-0722;TIPO A
EJ-0724;TIPO A
EJ-0725;TIPO A
EJ-0726;TIPO A
EJ-0727;TIPO A
EJ-0728;TIPO A
NA-0729;TIPO A
NA-0730;TIPO A
NA-0731;TIPO A
NA-0732;TIPO A
NA-0733;TIPO A
NA-0734;TIPO A
NA-0735;TIPO A
NA-0737;TIPO A
NA-0738;TIPO A
NA-0739;TIPO A
NA-0740;TIPO A
NA-0741;TIPO A
NA-0742;TIPO A
NA-0743;TIPO A
NA-0744;TIPO A
NA-0745;TIPO A
NA-0747;TIPO A
NA-0748;TIPO A
NA-0749;TIPO A
NA-0750;TIPO A
